,Pre-B,B,Pro-B,Early Lymphoid,HSC MPP,Early Erythroid,pDC,Cycling Progenitor,Megakaryocyte Precursor,CD4 Memory T,NK,CD8 Memory T,Plasma_Cell,EoBasoMast Precursor,Late GMP,Early GMP,cDC,LMPP,MEP,Pro-Monocyte,Naive T,Monocyte,Late Erythroid,Stromal
BA2507R,0.00202833666197178,0,0.52041065341938,0,0,0,0,0,0.202761099495652,0,0,0,0,0,0,0,0.00218517733464384,0,0,0,0,0.106911347491648,0,0.165703385596704
BA2563R,0.128542381602267,0,0.0577824383428625,0,0,0,0,0,0.399195054053988,0,0,0,0,0,0,0,0,0,0,0,0,0.0204801436948839,0,0.393999982305998
BA2244R,0,0,0.00375123339530904,0,0,0,0,0,0.237609503309511,0,0,0,0,0,0,0,0.133671521393877,0,0,0,0,0.496225022021453,0,0.12874271987985
BA2470R,0.133574397712063,0,0.0754686432377871,0,0,0,0,0,0.299926655638699,0,0,0,0,0,0,0,0.00103296789591562,0,0,0,0,0.229791960271179,0,0.260205375244356
BA2984R,0.165286260259968,0,0,0,0,0,0,0,0.335276297343024,0,0.00689721156849388,0,0,0,0,0,0.00030268045353922,0,0,0,0,0.110300150146648,0,0.381937400228326
BA2414R,0.0876995822261815,0,0.0362132288551243,0,0,0,0,0,0.240400061158442,0,0,0,0,0,0,0,0.187671129394226,0,0,0,0,0.322797869971326,0,0.125218128394701
BA2697R,0,0,0,0,0,0,0,0,0.000472963676249505,0,0,0,0,0,0,0,0.00199893929990094,0,0,0,0,0.943352169424639,0,0.0541759275992111
BA2079R,0,0,0,0,0,0,0,0,0.000384021134387637,0,0.0145705269364231,0,0,0,0,0,0.000598932909647863,0,0,0,0,0.906640465735713,0.0102820413754245,0.0675240119084043
BA2999R,0.0627550513881466,0,0.0304393256046644,0,0,0,0,0,0.295669214943306,0,0,0,0,0,0,0,0.101121202915567,0,0,0,0,0.361294875323032,0,0.148720329825283
BA2644R,0.00117373414973315,0,0.0331892848846671,0,0,0,0,0,0.0653863787087838,0,0.0661625418667555,0,0,0,0,0,0.0292142350622472,0,0,0,0,0.595030195067544,0,0.209843630260269
